order_id,customer_id,order_date,order_status
1,4,2026-08-17,COMPLETED
2,9,2026-07-28,COMPLETED
3,8,2026-08-04,COMPLETED
4,4,2026-08-01,COMPLETED
5,18,2026-08-18,COMPLETED
6,19,2026-07-30,COMPLETED
7,2,2026-08-10,COMPLETED
8,3,2026-07-28,COMPLETED
9,8,2026-08-03,COMPLETED
10,20,2026-08-13,COMPLETED
11,18,2026-07-28,COMPLETED
12,18,2026-08-03,COMPLETED
13,8,2026-08-10,COMPLETED
14,19,2026-08-11,COMPLETED
15,1,2026-08-05,COMPLETED
16,6,2026-08-21,COMPLETED
17,14,2026-08-19,COMPLETED
18,9,2026-08-07,COMPLETED
19,7,2026-08-01,COMPLETED
20,11,2026-08-21,COMPLETED
21,3,2026-07-31,COMPLETED
22,4,2026-08-09,COMPLETED
23,12,2026-08-08,COMPLETED
24,9,2026-08-16,COMPLETED
25,2,2026-08-22,COMPLETED
26,15,2026-08-20,COMPLETED
27,4,2026-08-14,COMPLETED
28,3,2026-08-09,COMPLETED
29,10,2026-08-14,COMPLETED
30,20,2026-08-23,COMPLETED
31,12,2026-08-25,COMPLETED
32,7,2026-08-15,COMPLETED
33,3,2026-08-19,COMPLETED
34,8,2026-07-29,COMPLETED
35,10,2026-08-21,COMPLETED
36,8,2026-07-30,COMPLETED
37,4,2026-08-24,COMPLETED
38,9,2026-08-09,COMPLETED
39,12,2026-08-11,COMPLETED
40,12,2026-08-02,COMPLETED
41,7,2026-08-08,COMPLETED
42,9,2026-08-18,COMPLETED
43,3,2026-08-19,COMPLETED
44,6,2026-08-16,COMPLETED
45,8,2026-08-14,COMPLETED
46,15,2026-08-02,COMPLETED
47,9,2026-08-09,COMPLETED
48,18,2026-08-17,COMPLETED
49,11,2026-08-04,COMPLETED
50,2,2026-08-23,COMPLETED
51,2,2026-08-04,COMPLETED
52,11,2026-08-22,COMPLETED
53,9,2026-08-09,COMPLETED
54,7,2026-07-30,COMPLETED
55,11,2026-08-15,COMPLETED
56,16,2026-08-03,COMPLETED
57,15,2026-08-09,COMPLETED
58,9,2026-08-01,COMPLETED
59,8,2026-08-01,COMPLETED
60,18,2026-08-20,COMPLETED
61,9,2026-08-14,COMPLETED
62,19,2026-08-20,COMPLETED
63,19,2026-08-10,COMPLETED
64,12,2026-08-09,COMPLETED
65,5,2026-08-04,COMPLETED
66,16,2026-08-13,COMPLETED
67,2,2026-07-30,COMPLETED
68,4,2026-08-24,COMPLETED
69,6,2026-08-01,COMPLETED
70,14,2026-08-22,COMPLETED
71,3,2026-08-16,COMPLETED
72,13,2026-08-09,COMPLETED
73,15,2026-08-16,COMPLETED
74,9,2026-08-13,COMPLETED
75,1,2026-08-14,COMPLETED
76,4,2026-08-18,COMPLETED
77,18,2026-08-18,COMPLETED
78,9,2026-08-21,COMPLETED
79,11,2026-08-21,COMPLETED
80,10,2026-07-31,COMPLETED
81,6,2026-08-10,COMPLETED
82,1,2026-08-11,COMPLETED
83,9,2026-08-20,COMPLETED
84,6,2026-08-13,COMPLETED
85,4,2026-08-13,COMPLETED
86,10,2026-08-24,COMPLETED
87,17,2026-08-23,COMPLETED
88,7,2026-08-16,COMPLETED
89,12,2026-08-01,COMPLETED
90,6,2026-08-21,COMPLETED
91,17,2026-08-14,COMPLETED
92,20,2026-07-28,COMPLETED
93,16,2026-08-07,COMPLETED
94,4,2026-07-28,COMPLETED
95,10,2026-08-08,COMPLETED
96,2,2026-08-04,COMPLETED
97,19,2026-08-04,COMPLETED
98,3,2026-07-30,COMPLETED
99,16,2026-08-20,COMPLETED
100,3,2026-08-23,COMPLETED
